Symbol,Name,Sector,Industry,Last Sale
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,41.71
NI,NiSource Inc.,Utilities,Utilities - Regulated Gas,44.43
NDSN,Nordson Corporation,Industrials,Specialty Industrial Machinery,297.78
NSC,,Industrials,Railroads,335.48
NTRS,Northern Trust Corporation,Financial Services,Asset Management,182.19
NOC,,Industrials,Aerospace & Defense,542.48
NCLH,Norwegian Cruise Line Holdings Ltd.,Consumer Cyclical,Travel Services,18.53
NRG,,Utilities,Utilities - Independent Power Producers,134.29
NUE,,Basic Materials,Steel,257.29
NVDA,NVIDIA Corporation,Technology,Semiconductors,200.75
NVR,,Consumer Cyclical,Residential Construction,6147.05
NXPI,NXP Semiconductors N.V.,Technology,Semiconductors,229.16
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,Auto Parts,89.35
OXY,Occidental Petroleum Corporation,Energy,Oil & Gas E&P,57.07
ODFL,"Old Dominion Freight Line, Inc.",Industrials,Trucking,212.14
OMC,Omnicom Group Inc.,Communication Services,Advertising Agencies,78.7
ON,ON Semiconductor Corporation,Technology,Semiconductors,81.61
OKE,"ONEOK, Inc.",Energy,Oil & Gas Midstream,90.81
ORCL,Oracle Corporation,Technology,Software - Infrastructure,129.87
OTIS,Otis Worldwide Corporation,Industrials,Specialty Industrial Machinery,71.95
PCAR,PACCAR Inc,Industrials,Farm & Heavy Construction Machinery,132.68
PKG,Packaging Corporation of America,Consumer Cyclical,Packaging & Containers,245.84
PANW,"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,331.83
PARA,,,,
PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,976.53
PAYX,"Paychex, Inc.",Technology,Software - Application,116.84
PAYC,"Paycom Software, Inc.",Technology,Software - Application,163.96
PYPL,"PayPal Holdings, Inc.",Financial Services,Credit Services,57.21
PNR,Pentair plc,Industrials,Specialty Industrial Machinery,65.44
PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,139.56
PFE,,Healthcare,Drug Manufacturers - General,25.01
PCG,PG&E Corporation,Utilities,Utilities - Regulated Electric,17.38
PM,,Consumer Defensive,Tobacco,190.82
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,211.68
PNW,,Utilities,Utilities - Regulated Electric,100.99
PXD,,,,
PNC,"The PNC Financial Services Group, Inc.",Financial Services,Banks - Regional,249.87
POOL,Pool Corporation,Industrials,Industrial Distribution,185.71
PPG,,Basic Materials,Specialty Chemicals,110.52
PPL,,Utilities,Utilities - Regulated Electric,35.21
PFG,,Financial Services,Asset Management,113.7
PG,,Consumer Defensive,Household & Personal Products,144.49
PGR,The Progressive Corporation,Financial Services,Insurance - Property & Casualty,211.42
PLD,,Real Estate,REIT - Industrial,144.61
PRU,,Financial Services,Insurance - Life,122.08
